created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Jul 28 11:04:24 +0000 2023;1684882492145434624;"Kalau Mau hemat ya harus motor listrik lah Gengs. #PakaiMolisYuk #الاتحاد_الترجي  #ArjosMaineEvent  #BroTheAvatar  #DDReturns  #Coldplay  Yakin Gak Mau Beralih??? https://t.co/UUBZhSHRpT";0;0;0;1;in;1666110519605096450;1684882492145434624;Lidyamonica08;https://twitter.com/Lidyamonica08/status/1684882492145434624
Fri Jul 28 11:01:28 +0000 2023;1684881753276911616;"@Heraloebss bocil bocil nih emang ga seharusnya dikasi beginian, kek berasa naik motor mereka nih. ugal ugalan bgt bawa sepeda listrik tuh. mana sekarang banyak bgt liat anak SD sekolah bawa sepeda listrik";0;0;0;0;in;68044253;1684849364169322496;oioipeh;https://twitter.com/oioipeh/status/1684881753276911616
Fri Jul 28 11:00:41 +0000 2023;1684881555779629056;"@_d_essert @bogorfess_ Emang ada faedahnya? Sewa sepeda listrik karena ga ada motor matic yg bisa dirental. Disebut sepeda tapi kegunaannya lebih ke motor matic. Dimaklumi karena dianggap sepeda (sesuai namanya) jadi weh ugal2an di jalan";0;0;0;0;in;1003040820499369984;1684838888102313984;biehuun;https://twitter.com/biehuun/status/1684881555779629056
Fri Jul 28 10:57:56 +0000 2023;1684880866923966464;"@Marimar_Aauw Jadi ingat bulan lalu, lg nyetir motor lihat bocil2 pake 2 sepeda listrik nubruk trus jatuh. Waktu kutolong berdiriin sepedanya, ada yg nangis keras, padahal cuma lecet.. Lah akhirnya diliatin sambil ditanyain warga. Mungkin dikira saya yg nubruk mereka 😅";0;1;1;0;in;37384168;1684877219456552960;halloarie;https://twitter.com/halloarie/status/1684880866923966464
Fri Jul 28 10:52:18 +0000 2023;1684879447353368576;"Bingung mau nyari motor listrik dimana ??  Langsung aja cek di aplikasi PLN mobile  #PakaiMolisYuk #DDReturns #BBNaija #bbrightvc #NoLimite #BroTheAvatar https://t.co/JT1OLzMGcX";0;0;0;2;in;1615746853462761475;1684879447353368576;PiwPiw8164;https://twitter.com/PiwPiw8164/status/1684879447353368576
Fri Jul 28 10:50:37 +0000 2023;1684879023997079553;"Yuk ges jadikan lingkungan lebih baik dengan beralih ke motor listrik  #PakaiMolisYuk #BBNaija #BroTheAvatar #bbrightvc #NoLimite #Coldplay https://t.co/PBYZggarYo";0;0;0;1;in;1615685486496092166;1684879023997079553;Msindriiani;https://twitter.com/Msindriiani/status/1684879023997079553
Fri Jul 28 10:46:38 +0000 2023;1684878022925848577;"Sobat Energi di Bali,  Join yuk perayaan akbar konversi motor listrik di Bali!   Buat Sobat yang ingin tanya-tanya konversi motor bbm ke motor listrik, pas banget kumpul di acara ini. Sampai jumpa!  #yeskonversinoemisi https://t.co/EUXu6MuJ6w";0;0;0;2;in;2373045344;1684878022925848577;djebtke;https://twitter.com/djebtke/status/1684878022925848577
Fri Jul 28 10:44:01 +0000 2023;1684877362838781952;"@Heraloebss Sebelum ada sepeda listrik, pengguna sepeda motor juga banyak penggunanya anak² sekolah dari SMP sampai SMA yg pada belum punya SIM, dan hebatnya mereka gunakan kendaraan tsb untuk pergi ke sekolah dan di parkir di parkiran sekolahannya,";0;3;0;4;in;1104205189;1684849364169322496;ikizwl;https://twitter.com/ikizwl/status/1684877362838781952
Fri Jul 28 10:43:27 +0000 2023;1684877219456552960;"Orang kita suka melencengnya kebangetan.  Belum selesai remaja pd pake motor di jalan umum, sekarang anak kecil pake sepeda listrik di jalan umum.  Kita kayanya diazab dg UU cilaka karena UU LLAJ dan Permenhub yg bagus aja dilanggar 😂";0;3;4;26;in;1299360593703395329;1684877219456552960;Marimar_Aauw;https://twitter.com/Marimar_Aauw/status/1684877219456552960
Fri Jul 28 10:31:26 +0000 2023;1684874197359833088;"Udah saatnya kita beralih ke motor listrik, mengingat udara di Indonesia semakin buruk karena banyak polusi, dngn pake Molis kita bisa ngurangin emisi karbon dn lebih hemat biaya bahan bakar sampai 80%. #PakaiMolisYuk  Daddies #SMTOWN_LIVE_2023_JAKARTA My Twitter Cat 1 CHANSOO https://t.co/QbR06NLEkg";0;0;0;1;in;1567859588606853121;1684874197359833088;aishmayra;https://twitter.com/aishmayra/status/1684874197359833088
